date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:26	15856/15856	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:49%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-15.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-15.jpg	(from http://mydesignhoard.com/HTML/html/education/coursesgrid.html)
13:49:26	4324/4324	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:52%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-24.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-24.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:27	4106/4106	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:52%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-25.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-25.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:27	4012/4012	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:52%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-26.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-26.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:27	42408/42408	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:51%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-21.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-21.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:27	3633/3633	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:52%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-27.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-27.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:28	4018/4018	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:53%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-28.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-28.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:28	5522/5522	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:53%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-29.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-29.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:28	3231/3231	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:14:54%20GMT	http://mydesignhoard.com/HTML/html/education/images/courses/img-30.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/courses/img-30.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:29	4597/4597	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:44%20GMT	http://mydesignhoard.com/HTML/html/education/images/tutors/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/tutors/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:29	4419/4419	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:44%20GMT	http://mydesignhoard.com/HTML/html/education/images/tutors/img-02.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/tutors/img-02.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:30	3814/3814	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:44%20GMT	http://mydesignhoard.com/HTML/html/education/images/tutors/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/tutors/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/coursedetail.html)
13:49:35	31820/31820	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:31%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
13:49:35	43530/43530	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:31%20GMT	http://mydesignhoard.com/HTML/html/education/images/speakers/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/speakers/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/faculties.html)
