date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:22	351/351	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Oct%202017%2009:22:23%20GMT	https://demo.web3canvas.com/robots.txt		(from )
14:52:23	19043/19043	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202017%2008:48:16%20GMT	https://demo.web3canvas.com/themeforest/unisco/	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/index.html	(from )
14:52:23	10999/10999	---M-Z	200	added ('OK')	application/javascript	etag:%2264a112d7d23a055fac594515dc847379%22	https://demo.web3canvas.com/cdn-cgi/apps/head/Oy59uNyS-HS5eBg_KJoiEjW-Xo8.js	D:/project/demo3/demo.web3canvas.com/cdn-cgi/apps/head/Oy59uNyS-HS5eBg_KJoiEjW-Xo8.js	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:23	150996/150996	---MCZ	200	added ('OK')	text/css	etag:W/%2224dd4-55986ec690c97%22	https://demo.web3canvas.com/themeforest/unisco/css/bootstrap.min.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/bootstrap.min.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:23	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-55986ec9b0bbf%22	https://demo.web3canvas.com/themeforest/unisco/css/font-awesome.min.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/font-awesome.min.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:24	11156/11156	---MCZ	200	added ('OK')	text/css	etag:W/%22329e-55986ecf741ed%22	https://demo.web3canvas.com/themeforest/unisco/css/simple-line-icons.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/simple-line-icons.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:24	1315/1315	---MCZ	200	added ('OK')	text/css	etag:W/%226c1-55986ed0bdb3c%22	https://demo.web3canvas.com/themeforest/unisco/css/slick.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/slick.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:24	2250/2250	---MCZ	200	added ('OK')	text/css	etag:W/%22c9e-55986ecfe7ad7%22	https://demo.web3canvas.com/themeforest/unisco/css/slick-theme.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/slick-theme.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:24	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22b78-55986ecd2a329%22	https://demo.web3canvas.com/themeforest/unisco/css/owl.carousel.min.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/owl.carousel.min.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:24	59281/59281	---MCZ	200	added ('OK')	text/css	etag:W/%2213a5f-5599d6fbd0237%22	https://demo.web3canvas.com/themeforest/unisco/css/style.css	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/css/style.css	(from https://demo.web3canvas.com/themeforest/unisco/)
14:52:25	19043/19043	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202017%2008:48:16%20GMT	https://demo.web3canvas.com/themeforest/unisco/index.html	D:/project/demo3/demo.web3canvas.com/themeforest/unisco/index-2.html	(from https://demo.web3canvas.com/themeforest/unisco/)
