date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:19	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2005%20Oct%202017%2008:45:19%20GMT	https://www.radiustheme.com/robots.txt		(from )
14:15:20	45357/45357	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Oct%202017%2008:45:20%20GMT	https://www.radiustheme.com/demo/html/academics/	D:/project/demo2/www.radiustheme.com/demo/html/academics/index.html	(from )
14:15:20	853/853	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202017%2007:58:38%20GMT	https://www.radiustheme.com/demo/html/academics/img/favicon.png	D:/project/demo2/www.radiustheme.com/demo/html/academics/img/favicon.png	(from https://www.radiustheme.com/demo/html/academics/)
14:15:24	7708/7708	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:45%20GMT	https://www.radiustheme.com/demo/html/academics/css/normalize.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/normalize.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:24	5765/5765	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:44%20GMT	https://www.radiustheme.com/demo/html/academics/css/main.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/main.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:27	121260/121260	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:41%20GMT	https://www.radiustheme.com/demo/html/academics/css/bootstrap.min.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/bootstrap.min.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:28	52789/52789	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:40%20GMT	https://www.radiustheme.com/demo/html/academics/css/animate.min.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/animate.min.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:28	27466/27466	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:42%20GMT	https://www.radiustheme.com/demo/html/academics/css/font-awesome.min.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/font-awesome.min.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:29	2516/2516	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:45%20GMT	https://www.radiustheme.com/demo/html/academics/css/meanmenu.min.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/meanmenu.min.css	(from https://www.radiustheme.com/demo/html/academics/)
14:15:29	98128/98128	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202017%2007:59:44%20GMT	https://www.radiustheme.com/demo/html/academics/css/hover-min.css	D:/project/demo2/www.radiustheme.com/demo/html/academics/css/hover-min.css	(from https://www.radiustheme.com/demo/html/academics/)
